"id","name","model","date_posted","price","created_at","url"
1,"Toyota","Innova","2025-03-01","860000.0","2025-03-19 19:49:25.486627","https://philkotse.com/toyota-innova-2-8-e-diesel-at-for-sale-in-quezon-city/2020-e-25-at-aid8670062"
2,"Toyota","Fortuner","2025-03-12","1010000.0","2025-03-19 19:49:25.879878","https://philkotse.com/toyota-fortuner-2-4-g-diesel-4x2-at-for-sale-in-quezon-city/2019-g-24-aid8685322"
3,"Suzuki","Carry","2025-03-19","445000.0","2025-03-19 19:49:26.25033","https://philkotse.com/suzuki-carry-utility-van-15l-for-sale-in-quezon-city/2022-passenger-type-aid8691962"
4,"Toyota","Hilux","2025-03-19","788000.0","2025-03-19 19:49:26.601654","https://philkotse.com/toyota-hilux-for-sale-in-manila/hot-2022-fx-for-sale-at-affordable-price-aid8691952"
5,"Mitsubishi","Montero Sport","2025-03-19","1478000.0","2025-03-19 19:49:26.957267","https://philkotse.com/mitsubishi-montero-sport-for-sale-in-makati/2022-black-series-4x2-24-at-diesel-0935-600-3692-jan-ray-de-jesus-aid8691942"
6,"Ford","Explorer","2025-03-19","988000.0","2025-03-19 19:49:27.359856","https://philkotse.com/ford-explorer-for-sale-in-makati/2017-23l-ecoboost-automatic-gas-pm-or-call-09121061462-maby-latido-aid8691932"
7,"Honda","CR-V","2025-03-19","750000.0","2025-03-19 19:49:27.698117","https://philkotse.com/honda-cr-v-for-sale-in-manila/hot-2016-crv-s-20l-for-sale-at-affordable-price-aid8691922"
8,"Nissan","Juke","2025-03-19","478000.0","2025-03-19 19:49:28.059666","https://philkotse.com/nissan-juke-for-sale-in-makati/2016-16-cvt-promo-89k-all-in-dp-pm-or-call-09121061462-maby-latido-aid8691912"
9,"Nissan","Juke","2025-03-19","468000.0","2025-03-19 19:49:28.456131","https://philkotse.com/nissan-juke-for-sale-in-makati/2017-16-at-gas-86k-all-in-dp-0935-600-3692-jan-ray-de-jesus-aid8691902"
10,"Ford","Everest","2025-03-19","728000.0","2025-03-19 19:49:28.78945","https://philkotse.com/ford-everest-for-sale-in-makati/2016-trend-22-4x2-promo-177k-all-in-dp-pm-or-call-09121061462-maby-latido-aid8691892"
11,"MG","ZS","2025-03-19","498000.0","2025-03-19 19:49:29.398583","https://philkotse.com/mg-zs-alpha-at-for-sale-in-makati/2019-alpha-gas-automatic-96k-all-in-dp-0935-600-3692-jan-ray-de-jesus-aid8691882"
12,"Subaru","WRX STI","2025-03-19","1608000.0","2025-03-19 19:49:30.26713","https://philkotse.com/subaru-wrx-sti-2-5-mt-for-sale-in-makati/2017-manual-gas0935-600-3692-jan-ray-de-jesus-aid8691872"
13,"Mazda","CX-5","2025-03-19","888000.0","2025-03-19 19:49:30.622298","https://philkotse.com/mazda-cx-5-for-sale-in-makati/2019-cx5-25-awd-gas-at-istop-top-of-the-line-201k-all-in0935-600-3692-jan-ray-de-jesus-aid8691862"
